author
Aleksei Rotmistrov
Joana Gonçalves-Sá
Alex ‘Sandy’ Pentland
Pablo Lozano
Paul Expert
Caterina Gennaioli
Ridhi Kashyap
Jeroen van den Hoven
Joana Mendonça
Yelena Mejova 
Fosca Gianotti 
Sreeja Nair
Gert Buiten
Jennifer Gewinner 
Selin Köksal 
Kazutoshi Sasahara
Jing Zeng
Guy Laban
Riccardo Di Clemente
Wenjun Liao 
Samuel Mueller
Mi Jin Lee
Martin Lukac 
Guangqing Chi
Zhen Zhu
Ayjeren Rozyjumayeva 
Aristides Gionis 
Pietro Panzarasa
Shingo Takahashi
Peter Ejbye-Ernst
Ifat Emi
Zhifan Luo
Igor Krawczuk 
Jakob Palinger
Ridwan Alam
Carsten Schwemmer
Morgan Frank 
James P. Gleeson 
Christoph Stadtfeld
Bruno Lepri
Toshiya Saito 
Anupama Aggarwal
Silke Adam
Ilya Musabirov
Joana Gonçalves-Sá 
Daniela Paolotti
Ali Faqeeh
Douglas Guilbeault
Paulo Almeida 
Johnnatan Messias
Adrien Benamira
Steve Guo 
Yoosoon An
Junichi Ozaki
Michaela Maier
Marta Rivera-Alba
Trivik Verma
Chenghua Guan
Yuki Ogawa
Yifan Qian 
William Sethares
Ekaterina Marchenko
Zachary Steinert-Threlkeld 
Aleksandra Urman 
Alexandre Leroux 
Liat Ayalon
Ivan Garibay
Andrea Santoro
Caspar Chorus
Ilse Pit
Fabian Flöck
Eun Lee
Ákos Jakobi
John Skvoretz
Sang Yup Lee
Zoya Khan
Takanori Nishida
Aleksandra Aloric
Chathika Gunaratne
Ingmar Weber
Angel Sanchez
Alina Sirbu
Jianliang Yang
Jeroen van Den Ochtend
Dean Eckles
Meiyi Ma
Koen Schoors
Meiyappan Nagappan 
Lingqing Jiang
Homa Hosseinmardi
Judith Moeller
Satyam Mukherjee 
Mauricio Barahona
Claudia Wagner
Manuel Garcia-Herranz 
Shen Yan
Xiaoyu Zhang
Scott Althaus
Nan Zhang 
Jungseock Joo
Aniket Alam
Manal Saadi 
Neda Paryab
Simon Schweighofer 
George Walkden
Rishabh Kaushal
Itto Kornecki
Rens Wilderom
Daniel Straulino
Kimon Kieslich
Shrikanth Narayanan
Ruben Juanes
Jianjian Gao
Hsien-Te Kao
Andrew Rosenberg
Annie Haakenstad
Sébastien Lerique 
Rudy Arthur 
Margaret McConnell 
Tarun Jain
Maayan Levinson
Raluca Gui
Svetlana Zhuchkova 
Ulf Liebe
Nicolas Cointe
Ana Alonso-Curbelo
Peter Krafft
Bence Ságvári
Martin Lukac
Vsevolod Suschevskiy
Gerrit Jan de Bruin
Sahil Loomba
Etienne Lesot
Wojtek Przepiorka 
Priyam Bansal
Xin Sui 
Abeer Aldayel 
Jens Wäckerle
Haruhiko Maenami 
Johannes Wachs
David Garcia
Yelena Mejova
Guanghua Chi
Roy Lay-Yee
Julian Kohne
Dan Calacci
Peter Davis 
Mansi Sharma 
Mykola Makhortykh
Alberto Antonioni
Javier Garcia-Bernardo
Jan van der Laan 
Samira Shaikh
Bart Baesens 
Xu Wang
Junjun Yin
Qiankun Zhong 
Eszter Katona
Arseny Rasov
Masoomali Fatehkia
Gabriel Murray
Fanni Máté 
Sara Tonelli 
Cor Veenman
Radim Hladik
Marco Brambilla
Dell Zhang
Heng Xu
Hugo de Vos
Fragkiskos Malliaros
Soichiro Morishita
Francesco Granella
Adrian Weller
Till Hoffmann 
Shaojing Sun
Emilio Ferrara
Brooke M. Bell
Frank Peter Pijpers
Bryan Bruns 
Luce le Gorrec
Marcel Wittich 
Hiroyasu Matsushima 
Roel Faber
Andreia Sofia Teixeira
Clemens Harten
Eszter Bokanyi
Mattia Gasparini 
Neave O’Clery
Maxime Stauffer
Domonkos Sik
Dhruv Sapra 
Scott Cunningham
Graham McNeill 
Kleber A. Oliveira
Masanori Takano
Ciro Cattuto
David Rothschild
Kate Furman 
Jesse Hoey
Deok-Sun Lee 
Shahad Althobaiti 
András Vörös 
Yasuhiro Kitakami 
Philipp Kling
Lorena Cano-Orón
Jeff Lockhart
Kyriaki Kalimeri
Martyn Harris
René Algesheimer
Marco Tomassini 
Sjoerd Hooijmaaijers 
Iraklis Moutidis
Stephane Verguet
Jennifer Van Hook
Hiroki Sakaji
Hartmut Wessler 
Krishna Gummadi 
Gesa Biermann
Benjamin Meindl 
Elisa Oertel
Kieran Mepham
Victor Suarez-Lledo
Curtis Atkisson
Ayush K. Rai
Karrie Karahalios
Alberto Sánchez-Carralero
Amineh Ghorbani 
Jaime Oliver 
Michele Tizzoni
Ellie Yang
Diliara Valeeva
Nora Ammann
János Kertész 
Ivan Smirnov 
