author
Yifan Yu
Martin Emmer
Kazuhiro Ueda
Aleksei Rotmistrov
Paul Expert
Caterina Gennaioli
Zhongyang He
Adam Berinsky
Francesco Pierri
Laura Hernandez
Milo Trujillo
Siddhartha Sen
Luca Pappalardo
Ryan Whalen
Miriam Koschate-reis
David Jurgens
Heetae Kim
Lisa Friedland
Flavia Luca
David Blei
Mor Naaman
James Evans
Michael Smith
Gert Buiten
Joshua Plotkin
Christopher Danforth
Stefania Ionescu
Juan Losada
Agnese Chiatti
Clifford Odimegwu
Thomas Robinson
Micah Epstein
Anna Shvarts
Xiao Yang
Pelin Bicen
Fosca Giannotti
Christian Almenar
Kazutoshi Sasahara
Munther Dahleh
Keran Rong
Daniel Romero
Eevastiina Gjerstad
Mohsen Bahrami
Nilam Ram
Steffi Kohl
Prof Levene
Xi Chen
Qiaozhu Mei
Alia Braley
Nathante Teblunthuis
Arram Bae
Bryan Daniels
Abhi Dubey
Doyne Farmer
Bilel Benbouzid
Mohammad Rasoolinejad
Yonatan Lupu
Azim Shariff
Leonardo Nicoletti
Deok-sun Lee
Misha Teplitskiy
Simon Kuhne
Pietro Panzarasa
Pursey Heugens
Matthew Groh
Inaki Ucar
Zhifan Luo
Onyi Lam
Joshua Tucker
Rory Smead
Yunwen Wang
Graelyn Humiston
Yphtach Lelkes
Fabrizio Lillo
Manon Revel
Swati Goel
Kayla Haye
Xi Zhang
Daniel Schroeder
Nour Kteily
Fred Morstatter
Christoph Stadtfeld
Robert Eyre
Richard Everson
Berk Deniz
Talia Kaufmann
Bruno Lepri
Stefan Mccabe
Anna Cigarini
Patrick Forber
Ana Brito
Benjamin Horne
Hasan Boz
Andreas Witt
Ahmet Kurnaz
Julie Jiang
Samuel Fraiberger
Itsuki Fujisaki
Alejandro Andrade
Derek Weber
Feifan Liu
Yuxiao Dong
Roland Toth
Gerald Bronner
Salvatore Giorgi
Shloak Gupta
Emily Lake
Yilin Huang
Leo Ferres
Bryan Moser
Jonathan Morgan
Michiel Bakker
Christopher Barrie
Kami Vaniea
Zion Mengesha
Yy Ahn
Peaks Krafft
Yunus Tapan
Francesca Chiaromonte
Daniel Larremore
Peter Organisciak
Jisung Yoon
Sono Shah
Subhayan Mukerjee
Henry Dambanemuya
Douglas Guilbeault
Kunhao Yang
Alexander Loser
Stefano Carattini
Jean Garcia-gathright
Naseem Makiya
Caitlin Gray
Amir Karami
Tamara Does
Lulu Peng
Kenneth Wapman
Talal Rahwan
Francois Lafond
Tai-quan Peng
Jay Kachhadia
Lizhen Liang
Gururaghav Raman
Laszlo Lorincz
Haoxiang Xia
Massimiliano Luca
Jesse Shore
Trivik Verma
Jane Adams
Prasanna Parasurama
Sung-gook Choi
Alessandro Flammini
David Dewhurst
Dana Warmsley
Mauricio Gruppi
Georgios Anagnostopoulos
Dorian Tsolak
Babak Heydari
Theophile Carniel
Ruben Bach
Lia Bozarth
Sabina Hartnett
Frauke Kreuter
Ivan Garibay
Sanguk Lee
Mark Graus
Mirta Galesic
Hannah Weinberg-wolf
Rene Kizilcec
Arthur Bakker
Rediet Abebe
Justus Uitermark
Cynthia Habonimana
Eshwar Chandrasekharan
Eun Lee
Chang-young Oh
Lewis Mitchell
Kiran Sharma
Soyun Ahn
Guillaume Plique
Penny Mealy
Ashton Anderson
Norman Fiedler
Takanori Nishida
Joe Nudell
James Siderius
Jason Burton
Yilang Peng
Haewoon Kwak
Daniel Goldstein
Xiaoran Sun
Katherine Pham
Ly Dinh
Avelie Stuart
Benjamin Ooghe-tabanou
Alessandro Artoni
Mihai Avram
Jian Zhu
Ryan Gallagheer
Jessica Kim
Rishemjit Kaur
Adina Nerghes
Chathika Gunaratne
Ingmar Weber
Karen White
Aniko Hannak
Jiwan Jeong
Jeffrey Quinn
Stuart Madnick
Ioanna Miliou
Nicholas Johnson
Renata Nemeth
Sarah Bolden
Julia Atienza-barthelemy
Stefan Wojcik
Dean Eckles
Amir Ghasemian
Sam Fankhauser
Hyejin Youn
Xin Jin
Homa Hosseinmardi
Kirill Martynov
Brandon Roy
Mauricio Barahona
Joseph Williams
H 
Aditya Tandon
Claudia Wagner
Laura Laugwitz
Pik-mai Hui
Dor Abrahamson
Chico Camargo
Daniel Chen
Alla Baranovsky
Adam Sawyer
Charles Martin
Igor Zakhlebin
Drew Dimmery
Justin Reich
Peter Kraft
Marco Fiore
Jessy Han
Jean-philippe Cointet
Ian Miller
Mario Gutierrez-roig
Maneet Singh
Lili Aunimo
Stijn Hoorens
Chris Riedl
Jessica Santana
Prakash Manandhar
Ji Kim
Damon Centola
Alexander Petersen
Emma Gauthier
Oliver Wieczorek
Baird Howland
Chris Bail
Issa Luna-pla
Pietro Rampazzo
Nupur Baghel
Panos Ipeirotis
Isabella Czedik-eysenberg
Sanaz Mobasseri
Jacob Staerk-ostergaard
Ashwin Rajadesingan
Itto Kornecki
James Houghton
Charles Gomez
Emmanuel Olamijuwon
Jiri Mazurek
Julia Koltai
Federico Battiston
Satyam Mukherjee
Jianjian Gao
Emiliano Cristofaro
Zanele Munyikwa
Victor Veitch
Mona Zubaidi
Stasa Milojevic
Paul Smaldino
Zhen Lei
Sean Fischer
Alexander Verbraeck
Takaaki Ohnishi
Tao Jia
Tarun Jain
Frederic Heaume
Suman Maity
Maria Sahakyan
Nicholas Hagar
Brian Uzzi
Jeffrey Sternberg
Sunje Paasch-colberg
Francesca Gino
Alexis Perrier
Guy Abel
Maurice Jakesch
Dana Fisher
Qi Hao
Savvas Zannettou
Manuel Cebrian
Martin Lukac
Narayanamoorthy Nanditha
Anamika Shreeva
Frank Webb
Riccardo Gallotti
Jianyin Roachell
Mark Levine
Herminio Bodon
Samuel Johnson
Joshua Introne
Zhepeng Cen
Kelsey Linnell
Dorottya Demszky
Fan Zhang
Marco Gramaglia
Marco Nadai
Johannes Wachs
Junming Huang
Paramveer Dhillon
Naoki Maejima
Justin Ho
Tom Griffiths
Stephanie Greenberg
Shuo Zhang
Janet Xu
Ulrike Hahn
Minnie Quartey
Dominic Saad
Launy Schweiger
Arun Sen
George Chen
Jaihyun Park
Dan Calacci
Javier Borge-holthoefer
Jessica Flack
Ian Anderson
Anne Stupinski
Saranzaya Magsarjav
Robert Mahari
Taha Yasseri
Mohammed Aleinzi
Emily Chen
Anna Koufakou
Marc Rauckhorst
Brooke Welles
Mark Trappmann
Natalie Gallagher
David Dekker
Summer Long
Nicole Nisbett
Felix Munch
Benoit Schmutz
Steven Skiena
Niklas Dorner
Emaad Manzoor
Anneke Buffone
Yiming Zhang
Elizabeth Stowell
Anna Keuchenius
Marco Brambilla
Radim Hladik
Arun Frey
Junbum Lee
Pingjing Yang
Reid Mcilroy-young
Azadeh Nematzadeh
Jonathan Zong
Maninder Kalra
Amir Goldberg
Haylee Ham
Nima Dehmamy
Aolong Zha
Tianyi Li
Ju-sung Lee
Jodi Basner
Sabin Roman
Tasi-ching Lu
Robert West
Yuan Yuan
Hang-hyun Jo
Santo Fortunato
Karoline Wiesner
Emilio Ferrara
Jeehye Choi
Sydney Wood
Daniel Muise
Meeyoung Cha
Ritesh Kumar
Alessandra Russo
Adam Richards
Oana Vuculescu
Nicolas Pares
Nir Grinberg
Manoel Ribeiro
Zhuangyuan Fan
Amir Tohidi
Oral Okan
Katherine Haenschen
Woo Jo
Jennifer Stromer-galley
Myung Cho
Glenn Lopez
Vincent Lariviere
Emilio Zagheni
Tobias Konitzer
Scott Cunningham
Matthewhieu Nadini
Jeongwook Kim
David Rothschild
Jaeryoung Ka
Nicolas Velazquez-hernandez
Mathew Hardy
Giorgio Tripodi
Tiago Santos
George Barnett
Telmo Menezes
Ania Korsunska
Parrish Bergquist
Sho Izumo
Xiaofan Wang
Christian Strippel
Tom Mcandrew
Soojong Kim
Peter Much
Qing Ke
Ovidia Stanoi
Thayer Alshaabi
Gordon Pennycook
Tara Sowrirajan
John Bollenbacher
Shan Huang
Antoine Mazieres
Eni Mustafaraj
Mohamad Hosseinioun
John Lang
Jihye Lee
Masahiro Kazama
Aparna Ananthasubramaniam
Gwilym Pryce
Matias Travizano
Martin Saveski
Luca Aiello
Rodrigo Costas
Joachim Trebbe
Winson Peng
Scott Pauls
Bernie Hogan
Lana Bilalova
Vasiliki Voukelatou
Rinat Sergeev
Mariko Ito
Mehwish Nasim
Mohsen Mosleh
Benjamin Jones
Pacheco Diogo
Hugo Contreras
Kieran Mepham
Flora Samu
Yian Yin
Meysam Alizadeh
Xiaoyao Yu
Kehan Li
Minje Choi
Luca Rossi
Neil Johnson
Yixue Wang
Farshad Kooti
Milena Tsvetkova
Samuel Martin-gutierrez
Anna Tedijanto
Nick Allum
Matthewhew Roughan
Amirarsalan Rajabi
Jon Kleinberg
Fujio Toriumi
Shuhei Kurizaki
Ismail Uluturk
Dakota Murray
Ho-chun Chang
Iain Weaver
Chris Myers
Nicolas Velasquez
Forough Poursabzi-sangdeh
David Rand
Gord Pennycook
Adam Hughes
S R
Esteban Moro
Florian Cafiero
Iyad Rahwan
Chloe Wittenberg
Jisun An
Lu Liu
Ali Jadbabaie
Tobin South
Kokil Jaidka
Ece Mutlu
Nazli Choucri
Kaicheng Yang
Carlos Fernandez
Nick Obradovich
Radomir Perzina
Faiz Ahamad
Yuhao Du
Renzhe Yu
Krish Perumal
Krishnaprasad Thirunarayan
Adam Pah
Nuno Araujo
Jiangmeng Liu
Mounia Lalmas
Jacobo Abitbol
Jeremy Ward
Niccolo Pescetelli
Thomas Delemotte
Filippo Simini
Polina Mosolova
Emma Brunskill
Tanya Berger-wolf
Jiajun Bao
Rhys Leahy
Kanyao Han
Manfred Schoch
David Holtz
Henrik Olsson
Andrea Baronchelli
Pakapol Supaniratisai
Poong Oh
Blake Wertz
Han Zhuang
Francesco Rampazzo
Nabeel Gillani
Junjie Wu
Katherine Carroll
Ira Winder
Jeanie Lim
Lorenzo Lucchini
Lu Ou
Yifeng Wan
Katie Roehrick
German Sanchez
Friedolin Merhout
Jasser Jasser
Camille Roth
Kostas Stathoulopoulos
Alex Rutherford
Anna Croley
Maria Bolsinova
Kunwoo Park
Amol Bhondekar
Paul Guille-escuret
Anne Toonders
Edward Lee
Florian Lemmerich
Julia Mendelsohn
Ben Tappin
Janina Sarol
Elise Jing
Luis Amaral
Andrew Nam
Cheng-jun Wang
Jimmy Peng
Sebastian Steffen
Francesco Silvestri
Tatiana Lau
Shubhanshu Mishra
Hunter Heidenreich
Xuan Lu
Agnes Horvat
Luca Verginer
Denis Bonnay
Yanni Yang
Guillaume Cabanac
Lionel Robert
Ivan Smirnov
Anton Boichenko
Orsolya Ring
Gargiulo Floriana
Petter Tornberg
Seth Frey
Andras Voros
Orsolya Vasarhelyi
Miriam Koschate
Julian Vicens
Barry Bradlyn
Akira Matsui
Huimin Xu
Arkadiusz Wisniowski
Michael Arnold
Susumu Nagayama
Tatiana Trifonova
Jenna Sherman
Hancheng Cao
Esteban Egido
Yulia Tsvetkov
Qiankun Zhong
Alexandru Cernat
Sian Brooke
Yong Tan
Qinghua Yang
Cuihua Shen
Jason Jones
Jake Williams
Felipe Montes
Nathan Hughes
Pj Lamberson
Xuanzhe Liu
Onur Varol
Sagar Kumar
Andrew Ledbetter
Joshua Becker
Abeer Aldayel
Robert Laubacher
Jan Overgoor
Ana-andreea Stoica
Konstantin Pogorelov
Lakshmi Subramanian
Laiyang Ke
Sebastian Bahr
Aaron Cluaset
Betty Aken
Nicolo Cavalli
Kinga Makovi
Simon Hegelich
P 
Dilek Yildiz
Aaron Halfaker
Mike Yeomans
Masha Krupenkin
Aaron Schein
Edmond Awad
Balaraju Battu
James Moffet
Eaman Jahani
Hao Peng
