author
James Deitrick
Bayu Adhi Tama
Lara Lofdahl
Joana Gonçalves-Sá
Ryan Skorupski
Mary Czerwinski
Caterina Froio
Inho Hong
Francesco Pierri
Mark E. Whiting
Wang Xinyue
Anastasia Menshikova
Siddhartha Sen
Luca Pappalardo
David Jurgens
Camilo Estrada
Katerina Guba
Benjamin Renoust
Irma Varela-Lasheras
James Evans
Miroslav Palanský
Punyajoy Saha
Francisco Gómez
Seungeon Lee
Lena Clever
Ani Harutyunyan
Kazutoshi Sasahara
Daniel Romero
Martin Novák
Tiziano Piccardi
Brendan Nyhan
Michael Sverdlov
Kai-Cheng Yang
Frederico Francisco
Carolina Mattsson
Simone Righi
Woo-Sung Jung
Jared Katzman
Ryota Kobayashi
Devin Gaffney
Pietro Panzarasa
Kathleen Carley
Zhifan Luo
Eiji Aramaki
Sebastian Stier
Yphtach Lelkes
Simone Lackner
Isabel Constantino
Ryen W White
Moritz Hoferer
Jennifer L. Walsh
Michael Bailey
Joe Hoover
Indrajit Bhattacharya
Bennett Kleinberg
Nour Kteily
Talia Kaufmann
Lluis Danus
Bruno Lepri
Marinette Savonnet
Suat Özdemir
Luisa Fernanda Chaparro
Samuel Fraiberger
Didier Sornette
Deniz Gezerli
Lília Perfeito
Derek Weber
Feifan Liu
Sungkyu Park
Tim A Majchrzak
Roland Toth
Zoltán Kmetty
Stephany Rajeh
Silke Adam
Johanna Temps
Shagun Jhaver
Risto Conte Keivabu
Jisung Yoon
Diego Fregolent Mendes de Oliveira
Lev Manovich
Yingying Chen
Henry Dambanemuya
Subhayan Mukerjee
Priscilla Wong
Felix Stamm
Zachary Neal
Levin Brinkmann
Leila Zia
Guy Stecklov
Sijun He
Marc-Etienne Brunet
Rachel de Jong
Leonardo Ferreira
Seokyoung Min
Tim Schatto-Eckrodt
Arto Kekkonen
Haoxiang Xia
Siobhan Grayson
Alessandro Flammini
Alberto Cottica
Shujun Li
Shirsendu Podder
Alessandro Provetti
Kara L. Johnson
Volker Seiser
Leo Bauer
Lukas Richter
Shuang Zhang
Hocine Cherifi
Forrest Hangen
Lucas Böttcher
Lia Bozarth
Frauke Kreuter
Yiling Lin
Mirta Galesic
Michael Reiss
Rene Kizilcec
Fabian Flöck
Jaime Teevan
Justus Uitermark
Shun Yamaya
Eun Lee
Rossano Schifanella
Petter Törnberg
Lewis Mitchell
Ákos Jakobi
Alan Perotti
Sang Yup Lee
Guillaume Plique
Ashton Anderson
Sara Mesquita
Kira von Kleist
Reid McIlroy-Young
Jason Burton
Elisa Celis
Lena Frischlich
János Kertész
Ramon Villa-Cox
Anand Sahasranaman
Ludovico Napoli
Elisabeth Lex
Ingmar Weber
Christoph Klimmt
