,0
0,Alex Pentland
1,Esteban Moro
2,Manuel Herranz
3,Vedran Sekara
4,Yan Leng
5,Diogo Pacheco
6,Kaicheng Yang
7,Pik-mai Hui
8,Dashun Wang
9,Lu Liu
10,Jana Diesner
11,Rezvaneh Rezapour
12,Shubhanshu Mishra
13,Kostas Stathoulopoulos
14,Zac Ioannidis
15,Andrea Baronchelli
16,Antonio Arechar
17,David Rand
18,Dean Eckles
19,Gordon Pennycook
20,Mohsen Mosleh
21,Ziv Epstein
22,Bryan Daniels
23,Chris Myers
24,David Krakauer
25,Edward Lee
26,Jessica Flack
27,Andras Voros
28,Christoph Stadtfeld
29,Hannah Muelder
30,Kieran Mepham
31,Marloes Maathuis
32,Michele Coscia
33,Christoph Kern
34,Denis Bonnay
35,Ruben Bach
36,Alvin Zhou
37,Kokil Jaidka
38,Yphtach Lelkes
39,Ashton Anderson
40,Isaac Waller
41,Alessandro Artoni
42,Francesco Pierri
43,Stefano Ceri
44,Alejandro Andrade
45,Anna Shvarts
46,Arthur Bakker
47,Dor Abrahamson
48,Lu Ou
49,Maria Bolsinova
50,Rosa Alberto
51,Alexandru Cernat
52,Florian Keusch
53,Alex Pentland
54,Dean Eckles
55,Martin Saveski
56,Yan Leng
57,Alexander Stewart
58,Antonio Arechar
59,David Rand
60,Joshua Plotkin
61,Marina Diakonova
62,Mohsen Mosleh
63,Carlos Fernandez
64,Foster Provost
65,Dean Eckles
66,Kiran Garimella
67,Ashton Anderson
68,Jon Kleinberg
69,Reid Mcilroy-young
70,Siddhartha Sen
71,Adam Hughes
72,David Lazer
73,Emma Remy
74,Sono Shah
75,Stefan Mccabe
76,William Hobbs
77,Alessandra Russo
78,Avelie Stuart
79,Elahe Naserian
80,Luke Dickens
81,Miriam Koschate
82,Florian Keusch
83,Frauke Kreuter
84,Georg-christoph Haas
85,Mark Trappmann
86,Sebastian Bahr
87,Elahe Naserian
88,Miriam Koschate-reis
89,Jan Overgoor
90,Johan Ugander
91,Pakapol Supaniratisai
92,Drew Dimmery
93,Yan Leng
94,Ceren Budak
95,Lia Bozarth
96,Alex Pentland
97,Dan Calacci
98,Ho-chun Chang
99,Soyun Ahn
100,Ana-andreea Stoica
101,Augustin Chaintreau
102,Jessy Han
103,Bedoor Alshebli
104,Gururaghav Raman
105,Jimmy Peng
106,Marcin Waniek
107,Talal Rahwan
108,Daniele Quercia
109,Luca Aiello
110,Milan Janosov
111,Chenhao Tan
112,Qin Lv
113,Shuo Zhang
114,Aaron Schein
115,David Blei
116,Dhanya Sridhar
117,Donald Green
118,James Moffet
119,Jeffrey Quinn
120,Keyon Vafa
121,Naseem Makiya
122,Victor Veitch
123,Adam Berinsky
124,Ali Jadbabaie
