,first,last
0, Karl,Aberer
1, Silke,Adam
2, David,Adelani
3, Nitin,Agarwal
4, Minali,Aggarwal
5, Yong-Yeol,Ahn
6, Luca,Aiello
7, Aliakbar,Akbaritabar
8, Ozan,Aksoy
9, Laura,Alessandretti
10, Monica,Alexander
11, Maxwell,Aliapoulios
12, Jennifer,Allen
13, Aleksandra,Alorić
14, José-Ignacio,Alvarez-Hamelin
15, Yuri A.,Amirkhanian
16, Jisun,An
17, Ashton,Anderson
18, Harshit,Aneja
19, Eiji,Aramaki
20, Luke,Archer
21, Antonio,Arechar
22, Samin,Aref
23, Guy,Aridor
24, Emanuele,Arielli
25, Oriol,Artime
26, David,Axelrod
27, Narges,Azizi Fard
28, Michael,Bailey
29, Paolo,Bajardi
30, Stefano,Balietti
31, Duilio,Balsamo
32, Sven,Banisch
33, Mauricio,Barahona
34, Daniel,Barkoczi
35, Andrea,Baronchelli
36, Andrea,Baronchelli
37, Hamsa,Bastani
38, Osbert,Bastani
39, Alice,Battiston
40, Leo,Bauer
41, Srikanta,Bedathur
42, Doug,Beeferman
43, Bianca,Beersma
44, Mariano G.,Beiró
45, Luca,Belli
46, Michael S.,Bernstein
47, George,Berry
48, Saumya,Bhadani
49, Indrajit,Bhattacharya
50, Monica,Bhole
51, Daniel,Bilsen
52, Jeremy,Blackburn
53, Matteo,Bohm
54, Anton,Boichenko
55, Eszter,Bokanyi
56, Philip,Borgmann
57, Krisztián,Boros
58, Lia,Bozarth
59, Alberto,Bracci
60, Marco,Brambilla
61, Alexander,Brand
62, Johannes,Breuer
63, Levin,Brinkmann
64, Kevin,Brito
65, Sian,Brooke
66, Marc-Etienne,Brunet
67, John,Bryden
68, Ceren,Budak
69, Jason,Burton
70, Lucas,Böttcher
71, Cristian,Candia
72, Hancheng,Cao
73, Likun,Cao
74, Luca,Carbone
75, Dominique,Cardon
76, Kathleen,Carley
77, Nicole B.,Carnegie
78, Nicola,Castaldo
79, Michele,Catasta
80, Manuel,Cebrian
81, Manuel,Cebrian
82, Elisa,Celis
83, Meeyoung,Cha
84, Meeyoung,Cha
85, Meeyoung,Cha
86, Je Hoon,Chae
87, Ho-Chun Herbert,Chang
88, Serina,Chang
89, Luisa Fernanda,Chaparro
90, Anthony,Chen
91, Hong,Chen
92, Huei-Yen,Chen
93, Juan,Chen
94, Liangwei,Chen
95, Tsuhan,Chen
96, Victor,Chen
97, Yingying,Chen
98, Yutao,Chen
99, Ziwen,Chen
100, Hocine,Cherifi
101, Pui Yin,Cheung
102, Arnaud,Chiolero
103, Eunseo,Choi
104, Minje,Choi
105, Jayesh,Choudhari
106, Giovanni Luca,Ciampaglia
107, Aaron,Clauset
108, Lena,Clever
109, Nico,Clever
110, Jean-Philippe,Cointet
111, Giovanni,Colavizza
112, Tina,Comes
113, Isabel,Constantino
114, Isabel,Constantino
115, Risto,Conte Keivabu
116, Alicia,Cork
117, Rense,Corten
118, Rodrigo,Costas
119, Alberto,Cottica
120, Teodoro,Criscione
121, Molly J.,Crockett
122, Hao,Cui
123, Mary,Czerwinski
124, Christian,Czymara
125, Valeria,D'Andrea
126, Jamell,Dacon
127, Henry,Dambanemuya
128, Lluis,Danus
129, Subhro,Das
130, Anirban,Dasgupta
131, Igor,de Almeida
132, Emiliano,De Cristofaro
133, Manlio,De Domenico
134, Manlio,De Domenico
135, Gianmarco,De Francisci Morales
136, Gianmarco,De Francisci Morales
137, Rachel,de Jong
138, Nima,Dehmamy
139, James,Deitrick
140, Emanuele,Del Fava
141, Joyce,Delnoij
142, Yulia,Dementeva
143, Esther,Denecke
144, Matthew R.,Deverna
145, Paramveer,Dhillon
146, Anna,Di Natale
147, N'Godjigui Junior,Diarrassouba
148, Marios,Dikaiakos
149, Tomáš,Diviák
150, Shohei,Doi
151, Sofia,Dokuka
152, Emese,Domahidi
153, Yuhao,Du
154, Tomislav,Duricic
155, Dean,Eckles
156, Tugrulcan,Elmas
157, Amin,Endah Sulistiawati
158, Şeyda,Ertekin
159, Camilo,Estrada
160, James,Evans
161, James,Evans
162, Jesse Michael,Fagan
163, Emilio,Ferrara
164, Leonardo,Ferreira
165, Firman,Firmansyah
166, Kristen,Flaherty
167, Alessandro,Flammini
168, Alessandro,Flammini
169, Fabian,Flöck
170, Lluc,Font-Pomarol
171, Santo,Fortunato
172, Brooke,Foucault Welles
173, Samuel,Fraiberger
174, Frederico,Francisco
175, Morgan,Frank
176, Dan,Frankowski
177, Diego,Fregolent Mendes de Oliveira
178, Seth,Frey
179, Lena,Frischlich
180, Caterina,Froio
181, Devin,Gaffney
182, Mirta,Galesic
183, Angela,Gallo
184, Angela,Gallo
185, Riccardo,Gallotti
186, Yérali,Gandica
187, Abiram,Gangavaram
188, Jian,Gao
189, David,Garcia
190, David,Garcia
191, Javier,Garcia-Bernardo
192, Kiran,Garimella
193, Darren,Gergle
194, Hans,Gersbach
195, Lise,Getoor
196, Deniz,Gezerli
197, Amir,Ghasemian
198, Sayan,Ghosh
199, Kristina,Gligoric
200, Amit,Goldenberg
201, Daniel G.,Goldstein
202, Joana,Gonçalves-Sá
203, Joana,Gonçalves-Sá
204, Przemyslaw,Grabowicz
205, Ger,Graus
206, Ian,Gray
207, Siobhan,Grayson
208, Derek,Greene
